Animal ID,Dox condition,shRNA condition,D9 TV,D12 TV,D14 TV,D19 TV,D23 TV,D27 TV,D30 TV,Endpoint (blank means still alive),
353733,Dox,iRFP-Renilla,0,98.3005,206.886,,,,,D19,
353734,Dox,iRFP-Renilla,0,84.5325,188.356,172.3095,236.6,542.5885,631.774,,
353735,Dox,iRFP-Renilla,0,0,0,0,0,0,0,,
353736,Dox,iRFP-Renilla,0,105.875,112.5,208.376,304.9805,790.3705,898.5375,,
353737,Dox,iRFP-Renilla,0,0,47.775,106.8445,137.5,412.8,556.3215,,
353728,Dox,iRFP-Renilla,0,0,95.648,117.2115,203.391,328.304,578,,
353729,Dox,iRFP-Renilla,0,0,22.5,76.2105,204.4035,330.75,544.231,,
353730,Dox,iRFP-Renilla,0,0,0,61.056,87.725,158.1425,373.498,,
353731,Dox,iRFP-Renilla,0,0,0,0,0,114.92,421.648,,
353732,Dox,iRFP-Renilla,0,33.2145,102.7395,215.016,380.538,951.665,1368.704,,
353756,Dox,iRFP-sh698,17.40978,29.4,87.075,113.7645,176.6205,217.8,405.769,,
353821,Dox,iRFP-sh698,0,30.9825,96.8,106.48,248.4,403.2,594.1665,,
353763,Dox,iRFP-sh698,44.982,53.6625,66.564,115.2,319.056,561.4535,937.125,,
353764,Dox,iRFP-sh698,0,95.648,202.554,429.3,470.4,1104.66,2563.9085,,
353765,Dox,iRFP-sh698,0,78.652,178.746,421.2,815.85,1119.546,1379.0295,,
353766,Dox,iRFP-sh698,30.72,15.3125,244.0935,,,,,D19,
353767,Dox,iRFP-sh698,0,0,0,0,0,220.32,688.5675,,
353781,Dox,iRFP-Renilla,0,36.2785,60.0925,75.106,155.682,157.604,178.608,,
353782,Dox,iRFP-Renilla,0,0,0,34.4,70,122.793,188.65,,
353783,Dox,iRFP-Renilla,53.802,75,141.12,184.5585,366.912,437.536,865.15,,
353719,Dox,iRFP-sh698,0,37.926,134.096,192.2375,358.228,592.9605,786.5,,
353720,Dox,iRFP-sh698,0,23.322,73.1235,107.136,198,432,492.5635,,
353721,Dox,iRFP-sh698,0,19.8,40.344,91.854,122.304,186.624,291.2,,
353722,Dox,iRFP-sh698,0,0,0,31.0365,55.016,52.9,109.6515,,
353886,Dox,iRFP-sh698,0,0,0,51.2705,110.808,233.4375,288.8,,
353750,Dox,iRFP-Renilla,0,98.9215,185.9,181.8045,274.36,553.7565,1112.716,,
353798,Dox,iRFP-sh551,64.538,72,110,122.247,204.1605,475.398,616.512,,
353752,Dox,iRFP-Renilla ,0,0,0,49.368,73.75,166.8875,287.496,,
353768,Dox,iRFP-sh551,0,32,40.5,46.464,166.093,255.9375,343.1875,,
353769,Dox,iRFP-sh551,0,39.2,81.466,97.92,176.4,442.7865,555.0375,,
353770,Dox,iRFP-sh551,0,62.4,33.934,48.9985,137.4995,417.874,579.483,,
353771,Dox,iRFP-sh551,0,0,46.575,42.592,98.784,126.852,232.75,,
353775,Dox,iRFP-sh551,0,0,0,0,0,65.8125,128.5625,,
